iter	Passed	Remaining
0	67	33912
1	72	17930
2	75	12512
3	78	9778
4	82	8167
5	86	7101
6	90	6342
7	93	5751
8	96	5283
9	100	4918
10	104	4634
11	107	4378
12	111	4169
13	114	3989
14	120	3893
15	124	3757
16	127	3626
17	131	3523
18	135	3427
19	139	3336
20	143	3263
21	146	3186
22	150	3111
23	153	3045
24	156	2982
25	160	2924
26	164	2873
27	168	2838
28	173	2813
29	176	2768
30	180	2723
31	183	2687
32	187	2647
33	190	2608
34	193	2575
35	197	2542
36	201	2517
37	204	2487
38	207	2457
39	211	2432
40	215	2409
41	218	2384
42	222	2359
43	225	2336
44	228	2314
45	232	2292
46	235	2271
47	239	2253
48	242	2234
49	246	2216
50	250	2205
51	255	2197
52	259	2188
53	263	2172
54	266	2158
55	270	2143
56	273	2127
57	277	2112
58	280	2099
59	284	2084
60	287	2071
61	291	2057
62	295	2047
63	298	2035
64	302	2022
65	305	2010
66	309	1997
67	312	1985
68	316	1974
69	319	1963
70	323	1951
71	326	1940
72	330	1934
73	334	1922
74	337	1912
75	341	1903
76	344	1892
77	348	1885
78	351	1875
79	355	1865
80	358	1856
81	362	1847
82	366	1840
83	369	1830
84	373	1821
85	376	1812
86	379	1803
87	383	1795
88	386	1786
89	390	1778
90	393	1769
91	397	1762
92	401	1755
93	404	1747
94	407	1739
95	411	1731
96	414	1723
97	418	1716
98	421	1708
99	425	1701
100	429	1696
101	432	1689
102	436	1681
103	439	1674
104	443	1667
105	447	1661
106	450	1655
107	454	1648
108	457	1641
109	462	1638
110	476	1668
111	480	1665
112	484	1659
113	488	1653
114	491	1646
115	495	1640
116	499	1634
117	502	1627
118	506	1620
119	509	1613
120	513	1609
121	517	1602
122	520	1596
123	524	1589
124	528	1584
125	531	1577
126	535	1572
127	539	1566
128	544	1564
129	547	1559
130	551	1553
131	554	1546
132	558	1540
133	562	1535
134	565	1529
135	569	1523
136	572	1517
137	576	1511
138	580	1508
139	585	1504
140	589	1501
141	593	1495
142	596	1489
143	599	1483
144	603	1476
145	606	1470
146	610	1466
147	614	1460
148	617	1454
149	620	1448
150	624	1442
151	627	1437
152	630	1430
153	634	1425
154	637	1419
155	641	1413
156	644	1408
157	648	1402
158	651	1397
159	654	1391
160	658	1386
161	661	1380
162	665	1374
163	668	1369
164	671	1364
165	675	1359
166	678	1353
167	682	1348
168	685	1342
169	689	1337
170	692	1332
171	696	1327
172	699	1322
173	702	1316
174	706	1311
175	709	1306
176	713	1301
177	716	1296
178	720	1291
179	723	1286
180	727	1281
181	730	1276
182	733	1271
183	737	1266
184	741	1262
185	746	1259
186	749	1254
187	753	1249
188	756	1245
189	760	1240
190	763	1235
191	766	1230
192	770	1225
193	774	1221
194	777	1216
195	781	1211
196	784	1206
197	788	1202
198	792	1198
199	795	1193
200	798	1188
201	802	1183
202	805	1178
203	809	1174
204	812	1169
205	816	1164
206	819	1159
207	823	1155
208	826	1151
209	830	1146
210	833	1141
211	837	1137
212	840	1132
213	844	1128
214	847	1123
215	851	1119
216	854	1114
217	857	1109
218	861	1105
219	864	1100
220	878	1108
221	882	1104
222	886	1100
223	889	1096
224	903	1103
225	906	1099
226	910	1095
227	914	1090
228	918	1087
229	922	1082
230	925	1078
231	929	1073
232	932	1068
233	937	1065
234	940	1060
235	943	1055
236	947	1051
237	960	1057
238	964	1053
239	969	1050
240	973	1045
241	986	1051
242	990	1047
243	993	1042
244	997	1038
245	1001	1034
246	1014	1039
247	1025	1041
248	1028	1036
249	1032	1032
250	1035	1027
251	1039	1022
252	1042	1018
253	1046	1013
254	1049	1008
255	1053	1004
256	1056	999
257	1060	994
258	1063	989
259	1067	985
260	1070	980
261	1074	975
262	1077	971
263	1080	966
264	1084	961
265	1087	956
266	1091	952
267	1094	947
268	1098	943
269	1101	938
270	1105	933
271	1108	929
272	1112	924
273	1116	920
274	1119	915
275	1123	911
276	1126	906
277	1130	902
278	1133	897
279	1137	893
280	1140	888
281	1144	884
282	1148	880
283	1152	876
284	1155	871
285	1158	867
286	1162	862
287	1166	858
288	1169	853
289	1172	849
290	1176	844
291	1180	840
292	1183	836
293	1187	831
294	1190	827
295	1194	822
296	1197	818
297	1201	814
298	1204	809
299	1208	805
300	1211	800
301	1214	796
302	1218	792
303	1221	787
304	1225	783
305	1229	779
306	1234	775
307	1238	772
308	1242	767
309	1245	763
310	1249	759
311	1252	754
312	1255	750
313	1259	746
314	1263	741
315	1266	737
316	1270	733
317	1273	728
318	1276	724
319	1280	720
320	1283	715
321	1287	711
322	1290	707
323	1294	703
324	1298	698
325	1301	694
326	1305	690
327	1308	686
328	1312	681
329	1315	677
330	1318	673
331	1322	669
332	1325	664
333	1329	660
334	1332	656
335	1336	652
336	1339	647
337	1352	648
338	1356	644
339	1360	640
340	1364	636
341	1369	632
342	1373	628
343	1377	624
344	1381	620
345	1385	616
346	1388	612
347	1391	607
348	1395	603
349	1399	599
350	1402	595
351	1406	591
352	1409	587
353	1413	582
354	1416	578
355	1420	574
356	1423	570
357	1427	566
358	1431	562
359	1434	558
360	1438	553
361	1442	549
362	1445	545
363	1449	541
364	1452	537
365	1455	533
366	1459	529
367	1463	524
368	1466	520
369	1469	516
370	1473	512
371	1476	508
372	1480	504
373	1483	499
374	1487	495
375	1490	491
376	1494	487
377	1497	483
378	1501	479
379	1504	475
380	1508	471
381	1511	466
382	1515	462
383	1518	458
384	1521	454
385	1525	450
386	1529	446
387	1532	442
388	1536	438
389	1539	434
390	1543	430
391	1546	426
392	1550	422
393	1553	417
394	1557	413
395	1560	409
396	1564	405
397	1568	401
398	1571	397
399	1575	393
400	1578	389
401	1582	385
402	1585	381
403	1589	377
404	1592	373
405	1596	369
406	1599	365
407	1603	361
408	1607	357
409	1610	353
410	1614	349
411	1617	345
412	1621	341
413	1625	337
414	1628	333
415	1631	329
416	1635	325
417	1639	321
418	1642	317
419	1645	313
420	1649	309
421	1653	305
422	1656	301
423	1660	297
424	1663	293
425	1667	289
426	1670	285
427	1674	281
428	1677	277
429	1681	273
430	1684	269
431	1688	265
432	1691	261
433	1694	257
434	1698	253
435	1701	249
436	1705	245
437	1709	241
438	1712	237
439	1715	233
440	1719	229
441	1723	226
442	1728	222
443	1731	218
444	1735	214
445	1739	210
446	1742	206
447	1746	202
448	1749	198
449	1753	194
450	1756	190
451	1760	186
452	1763	182
453	1766	179
454	1770	175
455	1774	171
456	1777	167
457	1781	163
458	1784	159
459	1788	155
460	1792	151
461	1795	147
462	1799	143
463	1802	139
464	1806	135
465	1809	132
466	1813	128
467	1816	124
468	1820	120
469	1824	116
470	1827	112
471	1831	108
472	1834	104
473	1838	100
474	1841	96
475	1844	93
476	1848	89
477	1851	85
478	1855	81
479	1858	77
480	1862	73
481	1865	69
482	1869	65
483	1872	61
484	1875	58
485	1879	54
486	1882	50
487	1886	46
488	1889	42
489	1893	38
490	1896	34
491	1900	30
492	1903	27
493	1907	23
494	1910	19
495	1914	15
496	1917	11
497	1922	7
498	1925	3
499	1929	0
