iter	MultiClass
0	1.765625954
1	1.740012586
2	1.72639227
3	1.72001308
4	1.706600554
5	1.702847881
6	1.690285997
7	1.677346087
8	1.664951578
9	1.653466527
10	1.640130802
11	1.628778471
12	1.617415944
13	1.612177399
14	1.600403664
15	1.592328325
16	1.586077043
17	1.577664972
18	1.568459325
19	1.560637414
20	1.554799411
21	1.553006537
22	1.54758843
23	1.537760911
24	1.533241323
25	1.526707035
26	1.519432427
27	1.513505274
28	1.50305881
29	1.494802985
30	1.489785891
31	1.481810695
32	1.476438228
33	1.469849498
34	1.465842531
35	1.463732817
36	1.457134178
37	1.452872739
38	1.449575315
39	1.447283622
40	1.441999142
41	1.436887913
42	1.429481033
43	1.421852224
44	1.419447197
45	1.414601263
46	1.4071623
47	1.399939455
48	1.391119413
49	1.385539956
50	1.38357553
51	1.376727552
52	1.370881814
53	1.366431147
54	1.363208759
55	1.358298538
56	1.352178307
57	1.344336889
58	1.337935627
59	1.333155427
60	1.325214099
61	1.319315367
62	1.314332263
63	1.310717999
64	1.306544856
65	1.3039089
66	1.300703193
67	1.296922158
68	1.290586712
69	1.283172558
70	1.276336079
71	1.272827312
72	1.267441673
73	1.261856745
74	1.255525196
75	1.248383851
76	1.241899578
77	1.23679774
78	1.229939935
79	1.226298247
80	1.220650859
81	1.214376734
82	1.209071923
83	1.203491734
84	1.196694873
85	1.190790419
86	1.185679382
87	1.17980173
88	1.173308983
89	1.16834621
90	1.165062956
91	1.16245072
92	1.158343005
93	1.152991238
94	1.147949227
95	1.143566493
96	1.137921736
97	1.132141327
98	1.1276711
99	1.120273734
100	1.116362652
101	1.112383264
102	1.107236415
103	1.101437932
104	1.095717693
105	1.091643073
106	1.086091082
107	1.081476106
108	1.078114169
109	1.073475142
110	1.068269121
111	1.064031605
112	1.059928729
113	1.055957772
114	1.05244228
115	1.048685334
116	1.044922514
117	1.039477499
118	1.03488576
119	1.032058541
120	1.027636913
121	1.023732272
122	1.018948756
123	1.015752666
124	1.013297299
