iter	Passed	Remaining
0	64	32253
1	68	17075
2	72	12033
3	78	9688
4	82	8210
5	86	7135
6	91	6469
7	95	5884
8	102	5565
9	106	5229
10	112	5000
11	116	4753
12	122	4583
13	127	4417
14	131	4265
15	136	4128
16	141	4023
17	145	3901
18	149	3789
19	153	3690
20	158	3621
21	163	3563
22	167	3472
23	170	3387
24	174	3314
25	178	3248
26	182	3196
27	186	3137
28	190	3088
29	194	3040
30	197	2991
31	203	2972
32	207	2942
33	212	2913
34	216	2882
35	221	2851
36	224	2814
37	228	2783
38	232	2748
39	236	2718
40	240	2690
41	244	2668
42	248	2641
43	252	2621
44	256	2597
45	260	2574
46	265	2555
47	269	2541
48	276	2542
49	281	2530
50	285	2512
51	290	2501
52	295	2488
53	299	2475
54	303	2456
55	308	2449
56	312	2431
57	316	2414
58	320	2396
59	324	2378
60	328	2363
61	332	2348
62	336	2331
63	340	2316
64	343	2301
65	348	2288
66	352	2275
67	355	2260
68	359	2247
69	363	2235
70	368	2224
71	371	2210
72	375	2197
73	379	2184
74	383	2170
75	386	2158
76	390	2146
77	394	2134
78	398	2122
79	402	2112
80	406	2101
81	410	2090
82	414	2080
83	418	2072
84	424	2071
85	428	2062
86	432	2053
87	436	2043
88	440	2036
89	446	2032
90	450	2022
91	453	2011
92	457	2003
93	461	1994
94	465	1984
95	469	1974
96	473	1965
97	477	1957
98	480	1947
99	484	1937
100	488	1928
101	492	1919
102	495	1910
103	499	1901
104	503	1893
105	506	1883
106	510	1874
107	514	1866
108	518	1858
109	521	1849
110	525	1841
111	529	1833
112	532	1824
113	536	1817
114	541	1813
115	546	1809
116	551	1805
117	556	1801
118	561	1797
119	565	1791
120	569	1784
121	573	1777
122	577	1770
123	581	1763
124	585	1755
125	588	1748
126	592	1740
127	596	1733
128	600	1727
129	605	1723
130	611	1721
131	617	1722
132	623	1721
133	666	1820
134	679	1836
135	683	1830
136	692	1834
137	705	1851
138	710	1844
139	714	1836
140	718	1829
141	722	1822
142	726	1814
143	730	1806
144	734	1798
145	738	1790
146	742	1782
147	746	1774
148	750	1768
149	754	1761
150	758	1753
151	763	1747
152	767	1740
153	771	1732
154	776	1727
155	814	1797
156	822	1797
157	828	1793
158	833	1786
159	836	1778
160	840	1770
161	844	1762
162	848	1754
163	853	1748
164	858	1742
165	862	1735
166	867	1729
167	871	1721
168	875	1714
169	879	1707
170	883	1699
171	887	1691
172	891	1685
173	895	1678
174	901	1674
175	907	1670
176	911	1663
177	916	1657
178	920	1650
179	924	1644
180	929	1637
181	933	1630
182	937	1623
183	941	1617
184	945	1610
185	949	1602
186	952	1594
187	956	1587
188	960	1581
189	964	1573
190	967	1565
191	971	1558
192	974	1550
193	978	1543
194	981	1535
195	985	1528
196	988	1521
197	992	1513
198	995	1505
199	999	1498
200	1002	1491
201	1005	1484
202	1009	1477
203	1013	1470
204	1017	1463
205	1020	1456
206	1023	1448
207	1026	1441
208	1030	1434
209	1033	1426
210	1036	1419
211	1039	1412
212	1043	1406
213	1046	1399
214	1050	1392
215	1053	1385
216	1057	1378
217	1060	1371
218	1064	1365
219	1067	1358
220	1071	1352
221	1074	1345
222	1078	1339
223	1081	1332
224	1084	1325
225	1088	1319
226	1091	1313
227	1096	1307
228	1099	1301
229	1103	1295
230	1107	1289
231	1111	1283
232	1115	1277
233	1119	1272
234	1122	1266
235	1126	1260
236	1129	1253
237	1133	1247
238	1136	1241
239	1140	1235
240	1143	1229
241	1147	1223
242	1150	1216
243	1154	1210
244	1157	1205
245	1161	1198
246	1164	1192
247	1167	1186
248	1171	1181
249	1175	1175
250	1178	1169
251	1182	1163
252	1185	1157
253	1188	1151
254	1192	1145
255	1196	1140
256	1200	1134
257	1203	1129
258	1207	1123
259	1211	1118
260	1215	1113
261	1218	1107
262	1222	1101
263	1226	1095
264	1229	1090
265	1233	1085
266	1237	1080
267	1241	1074
268	1244	1068
269	1248	1063
270	1252	1058
271	1255	1052
272	1259	1047
273	1263	1042
274	1267	1036
275	1270	1031
276	1274	1025
277	1278	1020
278	1281	1015
279	1285	1010
280	1289	1004
281	1293	999
282	1297	994
283	1300	989
284	1304	983
285	1307	978
286	1311	973
287	1314	967
288	1318	962
289	1322	957
290	1326	952
291	1330	948
292	1335	943
293	1338	938
294	1342	933
295	1346	928
296	1350	923
297	1354	918
298	1358	913
299	1361	907
300	1365	902
301	1369	897
302	1372	892
303	1376	887
304	1379	881
305	1382	876
306	1386	871
307	1390	867
308	1395	862
309	1400	858
310	1404	853
311	1407	848
312	1411	843
313	1415	838
314	1419	833
315	1422	828
316	1426	823
317	1430	818
318	1434	813
319	1437	808
320	1440	803
321	1444	798
322	1448	793
323	1451	788
324	1454	783
325	1458	778
326	1462	773
327	1465	768
328	1468	763
329	1472	758
330	1475	753
331	1479	748
332	1482	743
333	1485	738
334	1489	733
335	1493	728
336	1497	724
337	1500	719
338	1503	714
339	1507	709
340	1510	704
341	1513	699
342	1516	694
343	1519	689
344	1523	684
345	1526	679
346	1529	674
347	1532	669
348	1536	664
349	1539	659
350	1543	655
351	1547	650
352	1552	646
353	1557	642
354	1562	638
355	1568	634
356	1575	630
357	1585	628
358	1595	626
359	1600	622
360	1603	617
361	1606	612
362	1610	607
363	1614	603
364	1619	598
365	1622	594
366	1626	589
367	1630	584
368	1633	579
369	1636	575
370	1640	570
371	1644	565
372	1648	561
373	1651	556
374	1655	551
375	1659	547
376	1662	542
377	1666	537
378	1669	533
379	1673	528
380	1676	523
381	1680	519
382	1683	514
383	1687	509
384	1690	505
385	1694	500
386	1697	495
387	1701	491
388	1705	486
389	1708	481
390	1712	477
391	1716	472
392	1720	468
393	1724	463
394	1728	459
395	1732	454
396	1735	450
397	1739	445
398	1743	441
399	1746	436
400	1750	432
401	1754	427
402	1758	423
403	1761	418
404	1765	414
405	1769	409
406	1773	405
407	1776	400
408	1781	396
409	1785	391
410	1790	387
411	1794	383
412	1798	378
413	1801	374
414	1805	369
415	1809	365
416	1812	360
417	1816	356
418	1820	351
419	1824	347
420	1828	343
421	1831	338
422	1835	334
423	1838	329
424	1842	325
425	1846	320
426	1850	316
427	1853	311
428	1857	307
429	1860	302
430	1863	298
431	1867	293
432	1870	289
433	1873	284
434	1877	280
435	1881	276
436	1885	271
437	1889	267
438	1893	263
439	1896	258
440	1899	254
441	1903	249
442	1907	245
443	1910	241
444	1914	236
445	1917	232
446	1921	227
447	1924	223
448	1927	218
449	1931	214
450	1934	210
451	1940	206
452	1944	201
453	1947	197
454	1951	192
455	1954	188
456	1958	184
457	1961	179
458	1965	175
459	1968	171
460	1972	166
461	1975	162
462	1978	158
463	1982	153
464	1985	149
465	1988	145
466	1991	140
467	1994	136
468	1998	132
469	2001	127
470	2004	123
471	2007	119
472	2010	114
473	2013	110
474	2017	106
475	2020	101
476	2024	97
477	2027	93
478	2031	89
