iter	Passed	Remaining
0	63	31875
1	67	16801
2	71	11785
3	75	9328
4	78	7819
5	82	6801
6	86	6068
7	89	5506
8	93	5078
9	96	4729
10	99	4443
11	103	4206
12	106	3998
13	110	3826
14	113	3672
15	116	3532
16	120	3419
17	123	3308
18	127	3223
19	130	3137
20	133	3055
21	137	2981
22	140	2913
23	143	2851
24	147	2797
25	151	2753
26	154	2707
27	158	2665
28	161	2627
29	165	2588
30	169	2559
31	172	2524
32	175	2490
33	179	2462
34	183	2432
35	186	2404
36	190	2379
37	193	2354
38	197	2330
39	200	2307
40	204	2286
41	208	2268
42	211	2247
43	214	2227
44	218	2207
45	221	2187
46	225	2169
47	228	2153
48	232	2144
49	236	2127
50	239	2110
51	243	2095
52	246	2079
53	250	2067
54	253	2053
55	257	2038
56	260	2027
57	264	2017
58	268	2005
59	271	1993
60	275	1981
61	278	1970
62	283	1963
63	286	1953
64	290	1941
65	293	1930
66	297	1922
67	300	1910
68	304	1899
69	307	1890
70	311	1881
71	314	1870
72	318	1864
73	322	1859
74	326	1850
75	330	1842
76	334	1835
77	338	1829
78	341	1821
79	345	1812
80	348	1804
81	352	1799
82	356	1790
83	359	1781
84	363	1774
85	366	1765
86	370	1756
87	374	1751
88	378	1745
89	381	1737
90	384	1729
91	388	1720
92	391	1713
93	394	1704
94	398	1696
95	401	1690
96	406	1687
97	409	1679
98	412	1672
99	416	1665
100	420	1662
101	424	1656
102	428	1649
103	431	1642
104	434	1635
105	438	1629
106	441	1622
107	445	1615
108	448	1608
109	451	1602
110	455	1595
111	458	1589
112	462	1583
113	466	1577
114	469	1572
115	473	1566
116	476	1560
117	480	1554
118	483	1548
119	486	1541
120	490	1536
121	494	1530
122	497	1524
123	501	1520
124	504	1513
125	508	1508
126	511	1503
127	515	1497
128	518	1492
129	522	1486
130	525	1481
131	529	1475
132	532	1470
133	536	1464
134	539	1459
135	543	1454
136	546	1449
137	551	1445
138	555	1442
139	559	1439
140	564	1436
141	568	1433
142	572	1430
143	577	1428
144	582	1425
145	586	1422
146	590	1418
147	595	1415
148	598	1410
149	602	1405
150	606	1401
151	609	1395
152	613	1390
153	616	1385
154	620	1380
155	624	1376
156	628	1373
157	631	1367
158	635	1362
159	638	1356
160	641	1351
161	645	1346
162	648	1341
163	652	1335
164	655	1330
165	658	1324
166	661	1319
167	664	1313
168	667	1308
169	671	1302
170	674	1297
171	677	1292
172	680	1286
173	684	1281
174	687	1276
175	690	1271
176	693	1266
177	697	1261
178	700	1255
179	703	1251
180	707	1246
181	710	1241
182	713	1236
183	716	1231
184	720	1226
185	723	1221
186	726	1215
187	729	1210
188	733	1206
189	736	1201
190	739	1196
191	742	1191
192	745	1186
193	749	1181
194	752	1177
195	756	1173
196	759	1168
197	762	1163
198	765	1158
199	769	1153
200	772	1149
201	775	1144
202	779	1140
203	782	1135
204	785	1130
205	788	1125
206	792	1121
207	795	1116
208	798	1112
209	802	1107
210	805	1103
211	808	1098
212	811	1093
213	815	1089
214	818	1084
215	821	1080
216	824	1075
217	828	1071
218	831	1066
219	834	1062
220	838	1058
221	841	1054
222	845	1049
223	848	1045
224	851	1041
225	854	1036
226	857	1031
227	860	1027
228	864	1022
229	867	1018
230	870	1014
231	873	1009
232	877	1005
233	880	1000
234	883	996
235	886	991
236	889	987
237	892	983
238	896	979
239	900	975
240	903	971
241	906	966
242	910	962
243	913	958
244	916	953
245	919	949
246	923	945
247	926	941
248	929	937
249	933	933
250	936	928
251	939	924
252	942	920
253	946	916
254	949	912
255	952	908
256	956	903
257	959	899
258	962	895
259	965	891
260	968	887
261	972	883
262	975	879
263	978	874
264	981	870
265	985	866
266	988	862
267	991	858
268	994	854
269	998	850
270	1001	846
271	1004	842
272	1007	838
273	1010	833
274	1014	829
275	1017	825
276	1020	821
277	1023	817
278	1027	813
279	1030	809
280	1033	805
281	1037	802
282	1040	798
283	1044	794
284	1047	790
285	1050	786
286	1054	782
287	1057	778
288	1061	774
289	1064	770
290	1068	767
291	1071	763
292	1075	759
293	1078	755
294	1082	752
295	1085	748
296	1088	744
297	1092	740
298	1095	736
299	1099	732
300	1102	728
301	1105	725
302	1109	721
303	1112	717
304	1116	713
305	1119	709
306	1123	706
307	1126	702
308	1130	698
309	1133	694
310	1137	691
311	1140	687
312	1144	683
313	1147	679
314	1151	675
315	1154	672
316	1158	668
317	1161	664
318	1165	661
319	1168	657
320	1172	653
321	1175	649
322	1180	646
323	1183	643
324	1187	639
325	1192	636
326	1195	632
327	1199	628
328	1204	625
329	1207	621
330	1210	618
331	1216	615
332	1220	611
333	1223	608
334	1227	604
335	1240	605
336	1243	601
337	1246	597
338	1250	593
339	1253	589
340	1256	586
341	1260	582
342	1263	578
343	1267	574
